System,Sub System,Last Backup Time,Success Rate,Test Date,Owner
Windows Server,OS,2026-05-01,88%,2026-05-04,Tharun
Active Directory,Auth,2026-05-02,94%,2026-05-05,Tharun
Proxy,Network,2026-04-22,93%,2026-04-25,Daksh
Firewall,Security,2026-05-02,92%,2026-05-04,Martinez
VPN,Network,2026-04-17,94%,2026-04-19,Martinez
Unix Server,OS,2026-04-30,86%,2026-05-01,Tharun
Azure Cloud,Cloud,2026-04-18,83%,2026-04-19,Tharun
Switch,Network,2026-04-08,89%,2026-04-10,Tharun
Oracle DB,Database,2026-04-30,94%,2026-05-01,David
MsSQL DB,Database,2026-05-02,89%,2026-05-04,Martinez
Load Balancer,Network,2026-04-21,85%,2026-04-23,David
Cloud Gateway,Cloud,2026-04-10,97%,2026-04-13,David
Power BI,Analytics,2026-04-26,85%,2026-04-27,Tharun
SAN,Storage,2026-04-11,93%,2026-04-12,David
